Address,Zip,Zillow ID,Tax,Tax_Year,Home Type,Home Size,Bathrooms,Bedrooms,Last Sold Date,Last Sold Price,Zestimate Amount,Zestimate Date,Zestimate Value Change
5 14th ,60605,60204228,248760.0,2017,Condominium,10593,2.0,2,05/27/2004,295000,395223,04/03/2019,48923
8 9th ,60605,119088436,40600.0,2017,Miscellaneous,4312440,,0,09/29/2017,205000,,01/01/1970,
234 Ashland,60605,,,,,,,,,,,,
1733 Congress,60605,,,,,,,,,,,,
1753 Congress ,60605,,,,,,,,,,,,
730 Couch,60605,2093316676,,,Apartment,,1.0,1,02/01/2017,2415,,01/01/1970,
123 Desplaines,60605,2095670559,,,Apartment,,1.0,1,11/10/2016,2500,,01/01/1970,
24 E 11th St,60605,,,,,,,,,,,,
23 E 13th St 606 ,60605,70474983,513000.0,2017,Condominium,78844,2.0,2,07/20/2012,525000,657483,04/03/2019,-597
125 E 13th St ,60605,70474813,448300.0,2017,Condominium,23332,3.0,3,12/07/2011,275000,656642,04/03/2019,1514
125 E 13th St 1001 ,60605,70474749,324890.0,2017,Condominium,23332,,,04/21/2004,381500,458033,04/03/2019,15458
125 E 13th St 1002 ,60605,70474919,28050.0,2017,Condominium,23332,2.0,2,06/12/2017,433000,36498,04/03/2019,96
125 E 13th St 1003 ,60605,70474751,321140.0,2017,Condominium,23332,2.0,2,06/12/2017,433000,410062,04/03/2019,14320
125 E 13th St 1004 ,60605,70474897,28050.0,2017,Condominium,23332,2.0,2,05/03/2010,383000,36498,04/03/2019,96
125 E 13th St 1005 ,60605,70474897,28050.0,2017,Condominium,23332,2.0,2,05/03/2010,383000,36498,04/03/2019,96
125 E 13th St 1006 ,60605,70474753,388460.0,2017,Condominium,23332,,,09/17/2004,461500,571614,04/03/2019,37941
125 E 13th St 1007 ,60605,70474754,251950.0,2017,Condominium,23333,2.0,2,06/19/2012,310000,409958,04/03/2019,15692
125 E 13th St 1008 ,60605,70474753,388460.0,2017,Condominium,23332,,,09/17/2004,461500,571614,04/03/2019,37941
125 E 13th St 1009 ,60605,70474756,313680.0,2017,Condominium,23332,2.0,2,11/19/2018,400000,402970,04/03/2019,8422
125 E 13th St 1010 ,60605,2090392224,,,Condominium,,2.0,2,05/31/2018,435000,432480,04/03/2019,4318
